Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
07-Feb-17,674.95,688.8,666.75,669.55,677.31115,415417,11093,281366566,140262,33.76,22.05,-5.4
08-Feb-17,670,677,660,662.3,666.899704,215891,4450,143977644,56965,26.39,17,-7.7
09-Feb-17,663,668.95,655,656.75,659.9498416,212487,5015,140230762,64185,30.21,13.95,-6.25
10-Feb-17,657,662,651.05,655.1,656.637585,239005,6432,156939666,67811,28.37,10.95,-1.9
13-Feb-17,656,659.7,648.1,654.95,652.9859841,132421,4008,86469057,41985,31.71,11.6,-1.05
14-Feb-17,657.95,662.85,641.1,650.15,655.2590447,436747,8652,286182422,111211,25.46,21.75,-7.8
15-Feb-17,650.1,654,621.05,622.5,629.2292287,867893,22262,546103643,279419,32.2,32.95,-27.6
16-Feb-17,625,651.5,625,649.3,639.8327382,520866,9405,333267119,231571,44.46,26.5,24.3
17-Feb-17,653,677,649.6,675.45,667.0179669,895758,18852,597486680,294700,32.9,27.4,22.45
20-Feb-17,677.05,686.6,671.9,679.6,680.8084788,452822,11975,308285057,170781,37.71,14.7,2.55
21-Feb-17,681,684.7,670.5,673.25,675.7203351,218347,4696,147541508,66249,30.34,14.2,-7.75
22-Feb-17,674,674.8,663,670.4,669.1488128,256658,5418,171742396,94749,36.92,11.8,-3.6
23-Feb-17,671,681,667.9,675.4,676.6058932,264710,6163,179104346,68083,25.72,13.1,4.4
27-Feb-17,674.95,684.8,671.75,674.85,678.3304256,385297,7717,261358678,137616,35.72,13.05,-0.1
28-Feb-17,673.15,682.2,673.15,678.95,679.4659271,143692,3017,97633818,46143,32.11,9.05,5.8
01-Mar-17,678.95,696.7,678.95,694.3,692.7935638,604235,11890,418610119,311172,51.5,17.75,15.35
02-Mar-17,699,701,672.5,676.05,680.7028112,754103,10918,513320032,406214,53.87,28.5,-22.95
03-Mar-17,674.05,688.5,671.2,685.8,681.8069127,201541,3922,137412047,72208,35.83,17.3,11.75
